statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
this election is now a stark choice between a democracy and authoritarianism,1,0,0,1,1,0,Society and social sciences,campaign email
this is childish bullying behavior and i wont stand for it,1,1,0,1,1,0,Culture and the arts,campaign email
this is the kind of leadership we need,1,0,0,1,1,0,Society and social sciences,campaign email
this is the most important election of our lifetime the white house,1,1,0,1,1,1,History and events,campaign email
this means chicago aldermen will no longer be able to work as lobbyists,1,1,0,1,0,0,Society and social sciences,campaign email
this win was good for voters and will help rebuild the area,1,1,0,1,1,1,Society and social sciences,campaign email
those wars are unjust which are undertaken without provocation for only a war waged for revenge or defense can be just,1,0,0,1,0,1,History and events,aphorism
those who know to play can overcome the challenges of life and the ones who can sing and laugh never brew mischief,1,1,1,1,1,1,Philosophy and thinking,aphorism
three kinds of people die poor those who divorce those who incur debts and those who move around too much,0,0,0,1,0,1,General reference,aphorism
three things cannot be long hidden the sun the moon and the truth,1,0,0,1,1,1,General reference,aphorism
time ripens all things no man is born wise,1,0,1,1,1,1,People and self,aphorism
to avoid invasion of privacy data breaches ransomware attacks and other online threats people take measures to increase wi fi security,0,0,0,0,0,0,General reference,news media
to be stupid and selfish and to have good health are the three requirements for happiness though if stupidity is lacking the others are useless,0,0,0,1,0,1,General reference,aphorism
to be vain of one`s rank or place is to show that one is below it,1,0,1,1,0,1,Culture and the arts,aphorism
to become a billionaire you need luck knowledge a great capacity to work and the main thing the mentality of a billionaire,1,1,0,1,1,1,Human activities,aphorism
to calculate your weight you stand on a scale,1,1,0,0,0,0,Human activities,category response
to criticize and yet offer no alternative is like trying to stop flood with water or put out fire with fire it will surely have no effect,1,0,1,0,0,1,Philosophy and thinking,aphorism
to doubt everything or to believe everything are two equally convenient solutions both dispense with the necessity of reflection,1,1,1,1,1,0,General reference,aphorism
to endure uncertainty is difficult but so are most of the other virtues,1,0,0,0,1,1,General reference,aphorism
to go fast go alone to go far go together,1,0,1,1,1,0,Society and social sciences,aphorism
to govern is always to choose among disadvantages,0,1,0,1,1,1,Human activities,aphorism
to have the most successful outcome we need a large voter turnout,0,1,0,1,0,1,General reference,campaign email
to imagine is everything to know is nothing at all,1,0,1,1,1,0,Philosophy and thinking,aphorism
to interact with a smart voice activated device you will need to speak to it,1,1,0,1,0,0,Technology and applied sciences,category response
to keep your secret is wisdom but to expect others to keep it is folly,1,0,0,1,0,1,Philosophy and thinking,aphorism
to know how to wait is the great secret of success,1,0,1,1,1,0,Philosophy and thinking,aphorism
to live is the rarest thing in the world most people exist that s all,1,1,1,0,0,1,People and self,aphorism
to love and win is the best thing to love and lose the next best,0,0,1,1,0,1,History and events,aphorism
to prevent gun violence we should commit funding to ground community level violence interruption and prevention programs,0,0,0,0,0,1,Religion and belief systems,news media
to properly clean your hands is the best way to prevent the spread of disease,1,1,0,1,1,0,Health and fitness,campaign email
to remove ignorance is to realize the truth,0,0,1,1,1,0,General reference,aphorism
to stop drug overdoses and overdose death leaders should provide medical care for individuals at risk,1,1,0,1,1,1,Human activities,news media
to succeed in the world it is much more necessary to possess the penetration to discern who is a fool than to discover who is a clever man,1,0,1,1,1,1,People and self,aphorism
to threaten the brave with death is like promising water to a duck,1,1,1,1,1,1,Philosophy and thinking,aphorism
today advances in technology are improving faster then ever,1,0,1,1,0,1,Technology and applied sciences,category response
today every invention is received with a cry of triumph which soon turns into a cry of fear,1,0,1,0,1,0,People and self,aphorism
tolerance becomes a crime when applied to evil,1,0,1,1,1,0,General reference,aphorism
too long hair would make you want to have a haircut,1,1,0,1,1,0,General reference,Concept Net
training police officers on implicit bias de escalation and use of force can address police violence,0,0,0,0,0,1,History and events,news media
transparency is necessary for government funds,1,0,0,1,1,1,General reference,campaign email
treat local animals well becase we all coexist in the same shared ecosystem,0,1,0,1,0,1,Human activities,category response
trees are the lungs of our planet,0,0,1,0,1,0,Natural and physical sciences,category response
triangles have three sides,0,1,0,0,0,0,Mathematics and logic,category response
true terror is to wake up one morning and discover that your high school class is running the country,1,1,1,1,1,0,General reference,aphorism
two plus two does not equal four if your are mixing volumes of miscible liquids,0,1,0,0,0,0,Mathematics and logic,category response
two plus two equals four,0,1,1,0,1,0,General reference,category response
two plus two is four,1,1,0,0,0,0,Mathematics and logic,category response
two times two is four,1,1,0,0,0,0,Mathematics and logic,category response
under capitalism man exploits man under communism it s just the opposite john kenneth galbraith,1,0,0,1,1,0,Society and social sciences,aphorism
unfortunately many of those who got despaired and gave up will never know how close they were to success,1,0,1,1,1,0,Philosophy and thinking,aphorism
unhappy is the land that is in need of heroes,0,0,1,1,0,1,General reference,aphorism
united state is a bigger country compare to mexico,0,1,1,0,0,1,Geography and places,category response
universal judgments say nothing with definitiveness about individuals,1,0,1,1,1,1,Philosophy and thinking,aphorism
unprocessed meat is better than processed meat,1,1,0,1,1,0,General reference,category response
use first your brain before act,1,1,0,1,1,1,Philosophy and thinking,category response
using logic as the basis of your philosophy of life must include and understanding of the illogical behavior of others,1,0,0,1,1,1,History and events,category response
vaccines will allow us to more easily return to a normal life,1,0,0,1,0,1,General reference,news media
vice in its true light is so deformed that it shocks us at first sight and would hardly ever seduce us if it did not at first wear the mask of some virtue,1,0,1,1,1,1,Philosophy and thinking,aphorism
viewed from a distance everything is beautiful,0,0,1,0,1,1,Geography and places,aphorism
volcanos create new land and islands on our planet,0,1,0,0,0,0,Natural and physical sciences,category response
von canon supports basic fundamental rights,1,0,0,1,0,1,General reference,campaign email
voters are the people who are going to change things,1,0,0,1,1,1,Society and social sciences,campaign email
voters should be allowed to cast their vote by any means necessary,0,1,0,1,1,1,Society and social sciences,campaign email
voting for an veteran of war is a way to keep this country safe,1,0,0,1,1,1,Society and social sciences,campaign email
voting is the best way to have your voice heard,1,0,0,1,1,0,Society and social sciences,campaign email
voting republican is the only way to help new jersey,1,0,0,1,1,0,Society and social sciences,campaign email
voting rights are a fundamental american right,1,1,0,1,1,0,Society and social sciences,campaign email
voting rights are not a political issue but a basic fundamental right,1,0,0,1,1,1,History and events,campaign email
voting should not be made harder for americans,1,1,1,0,1,1,Culture and the arts,news media
vulgar people take a huge delight in the faults and follies of great man and great man are equally annoyed at being thus reminded of their kinship with them,1,1,1,1,1,1,Culture and the arts,aphorism
waiting for luck is similar to waiting for death,1,0,1,1,1,0,General reference,aphorism
walking is an excellent form of exercise,1,1,1,1,1,1,General reference,category response
war a massacre of people who don`t know each other for the profit of people who know each other but don`t massacre each other,1,0,0,0,0,0,Human activities,aphorism
war is one of the scourges with which it has pleased god to afflict men,1,0,1,1,1,1,Religion and belief systems,aphorism
war is only a cowardly escape from the problems of peace,1,0,1,1,1,0,Human activities,aphorism
war is sweet to those who never tried it,1,0,1,1,1,1,History and events,aphorism
warren will do good in congress,0,1,1,1,1,0,General reference,campaign email
watch our ad now i never planned to run for office,0,0,0,1,1,1,History and events,campaign email
water flows down from higher places to lower places,0,1,0,0,0,0,Natural and physical sciences,category response
water freezes at low temperatures,0,1,1,0,0,0,Technology and applied sciences,category response
water is essential to all life,0,1,0,0,0,0,Natural and physical sciences,Concept Net
water is good for you,0,1,0,0,0,0,Natural and physical sciences,category response
water is liquid,0,1,0,0,0,0,Natural and physical sciences,Concept Net
water should be kept handy while discharging fireworks,0,1,0,1,0,1,Human activities,news media
waves generate a lot of raw power,1,1,1,1,0,1,Technology and applied sciences,category response
we act as though comfort and luxury were the chief requirements of life when all that we need to make us happy is something to be enthusiastic about,0,0,1,1,1,0,General reference,aphorism
we all know what is best for ourselves and our families and should be able to act on that,1,0,0,1,1,1,Society and social sciences,campaign email
we all want every living american citizen to vote once,1,1,0,1,1,1,Society and social sciences,campaign email
we are at a moment in our countrys history where we need to heal and unify,1,0,0,1,1,0,General reference,campaign email
we are counting on your support,1,0,0,1,0,0,History and events,campaign email
we are less than 61 000 away from our fundraising goal,0,1,0,0,0,0,Human activities,campaign email
we are likely to succeed going down in flames,0,1,0,0,0,1,General reference,category response
we are reaching out to build support for our grassroots organization,1,1,0,0,0,1,Health and fitness,campaign email
we are sinful not merely because we have eaten of the tree of knowledge but also because we have not eaten of the tree of life,1,0,1,1,1,1,Philosophy and thinking,aphorism
we are six weeks away from the june 9th election,0,1,0,0,0,0,Society and social sciences,campaign email
we are taught to clothe our minds as we do our bodies after the fashion in vogue and it is accounted fantastical or something worse not to do so,1,0,1,1,1,0,General reference,aphorism
we build too many walls and not enough bridges,0,0,1,1,0,1,General reference,aphorism
we buy things we don't need with money we don't have to impress people we don't like,1,1,1,1,1,0,Human activities,aphorism
we can achieve a more prosperous vermont,1,0,0,1,1,0,Society and social sciences,campaign email
we can all do little things to help protect our health,1,1,0,1,1,0,Health and fitness,campaign email
we can always count on philosophy and human thought to provide opinions on just about anything,1,0,0,1,1,0,Philosophy and thinking,category response
we can deliver on the constitutions promise of equal protection under the law,0,0,0,0,1,1,General reference,campaign email
we can easily solve our country's problems,0,0,0,1,1,1,Culture and the arts,campaign email
we can get tulsis message out loud and proud and we can do it today with your help,1,0,0,1,1,1,Philosophy and thinking,campaign email
we can overcome it if we act with determination,1,1,0,1,1,0,Philosophy and thinking,campaign email
we can provide insurance for every citizen,0,1,0,1,0,0,Geography and places,campaign email
we can stop this group from turning arizona blue,1,1,0,0,0,1,Human activities,campaign email
we can wear masks and take actions to protect our health while also maintaining our liberties,1,1,0,1,1,1,Health and fitness,campaign email
we can work through this period of history safely,1,1,0,1,1,0,History and events,campaign email
we cannot direct the wind but we can adjust the sails,1,1,1,1,1,0,Philosophy and thinking,aphorism
we cannot ignore the call to protect our environment,1,1,0,1,1,1,Natural and physical sciences,campaign email
we cannot let our opponent outwork us i need your help,1,1,0,1,1,0,Human activities,campaign email
we cannot let partisanship get in the way of what our nation needs right now,1,1,0,1,0,0,Philosophy and thinking,campaign email
we cannot rely on our basic instincts for some things,1,0,0,1,1,0,People and self,campaign email
we cannot tear out a single page of our life but we can throw the whole book in the fire,1,1,1,1,1,1,Philosophy and thinking,aphorism
we do not need extreme measures to protect against coronavirus,1,0,0,1,0,0,Society and social sciences,campaign email
we don't need other states telling us what's best for new hampshire,1,0,0,1,1,0,Society and social sciences,campaign email
we dont need people with decades of state house experience,1,0,1,1,1,0,Society and social sciences,campaign email
we dont take any corporate pac money so we rely only on supporters like you,1,0,0,1,0,1,Society and social sciences,campaign email
we drink one another`s health and spoil our own,0,1,1,1,0,1,General reference,aphorism
we find greater violence and more perseverance among the wretched,1,0,1,0,0,1,General reference,aphorism
we have 4 240 left to raise today,1,1,0,0,0,0,Human activities,campaign email
we have a new order of yard signs arriving this week,1,1,0,1,0,0,Human activities,campaign email
we have done flag and signwaving from bellingham to everett,1,1,0,1,0,0,Human activities,campaign email
we have just one week left until the fundraising freeze,1,1,0,1,0,0,Culture and the arts,campaign email
we have to be cautious not scared right now,1,0,0,1,1,1,Society and social sciences,campaign email
we have to continue to learn we have to be open and we have to be ready to release our knowledge in order to come to a higher understanding of reality,1,0,0,1,1,1,Human activities,aphorism
we have to fight back and i need your help,1,1,0,1,1,1,General reference,campaign email
we have to stop her lies from getting into our homes by drowning out her ad with our ad on the air,0,1,0,1,1,1,General reference,campaign email
we have to wear mask or stay home,1,1,0,1,1,1,Society and social sciences,campaign email
we hould always try to rethink and question our assumptions,0,0,0,0,0,1,Religion and belief systems,news media
we know its worked here in michigan and across the country,1,1,0,1,1,0,Society and social sciences,campaign email
we know that voting by mail shouldnt be a partisan issue,1,1,0,1,0,1,General reference,campaign email
we know what we are but know not what we may be,1,0,0,1,1,1,Philosophy and thinking,aphorism
we look forward to uniting republicans,1,1,0,1,1,1,Society and social sciences,campaign email
we make a fine bourbon at a profit if we can at a loss if we must but always fine bourbon,1,0,0,1,0,1,General reference,aphorism
we must act out passion before we can feel it,1,0,0,1,1,1,Human activities,aphorism
we must all suffer one of two things the pain of discipline or the pain of regret and disappointment,1,0,1,1,1,1,Human activities,aphorism
we must be aware of the harms of digital addiction,0,0,0,0,1,1,Culture and the arts,news media
we must convince america that we can bring back american values,1,1,0,1,1,0,Society and social sciences,campaign email
we must oppose the radical left's crazy ideas,1,1,0,1,1,0,Society and social sciences,campaign email
we must provide equal oppurtunity to learn,0,0,0,0,0,1,General reference,news media
we must spare our enemies or it will be our loss since they and all their belongings will be ours soon,1,1,1,1,1,1,Human activities,aphorism
we must study the history of philosophy to have a full understanding of those who came before us,1,0,0,1,1,1,Philosophy and thinking,category response
we national mask mandate to stop the spread of covid19,1,0,0,1,1,1,Health and fitness,campaign email
we need a leader who restores conservative values,1,0,1,0,1,0,General reference,campaign email
we need a real hoosier representing us in congress,1,1,0,1,0,0,Natural and physical sciences,campaign email
we need a steady leader to ensure fairness,1,0,0,1,1,1,Society and social sciences,campaign email
we need clear leadership and your support to provide that,1,1,0,1,1,1,Society and social sciences,campaign email
we need democratic values in order to succeed,1,0,0,1,1,1,Religion and belief systems,campaign email
we need gentle leadership in this time,1,1,0,1,1,1,General reference,campaign email
we need leaders who have seen firsthand the way policies impact people,1,1,1,1,0,0,Mathematics and logic,campaign email
we need more leadership from the medical community and less from the government,0,0,0,1,1,0,General reference,campaign email
we need more people who think like everyday americans,1,1,0,1,1,0,Society and social sciences,campaign email
we need more progressives in congress,1,0,0,1,1,0,Geography and places,campaign email
we need someone to champion public safety for south carolina,1,1,0,1,1,0,Society and social sciences,campaign email
we need someone who can base policy on the evidence we have,1,0,0,1,1,0,Society and social sciences,campaign email
we need someone who knows the people and their concerns,1,1,0,1,1,0,Society and social sciences,campaign email
we need someone who listens to the people,1,0,0,1,1,1,People and self,campaign email
we need someone who will work on the issues that matter to the people,1,0,0,1,1,0,Society and social sciences,campaign email
we need this national security risk out of office asap,1,1,1,1,0,1,Health and fitness,campaign email
we need to address the basic lingering problems in michigan with obvious answers,0,0,0,1,0,1,Philosophy and thinking,campaign email
we need to back republican values across the country,1,1,0,1,1,0,Natural and physical sciences,campaign email
we need to be careful and behave in a way to protect our health,1,1,1,1,1,0,General reference,campaign email
we need to be careful while we support our economic growth,1,0,0,1,1,0,Society and social sciences,campaign email
we need to bring back some coastal,1,0,1,1,1,0,Natural and physical sciences,campaign email
we need to bring republican values back,0,0,0,1,1,0,Human activities,campaign email
we need to change direction with our current leadership,1,0,0,1,1,0,Culture and the arts,campaign email
we need to change the direction of this country,1,0,0,1,1,0,Society and social sciences,campaign email
we need to continue to fight to make our world safer from gun violence,1,0,0,1,1,0,Human activities,campaign email
we need to create centralized communities,1,0,0,1,1,1,Society and social sciences,campaign email
we need to demand that our educators receive better funding,1,1,0,1,1,0,Geography and places,campaign email
we need to do everything we can to stop this pandemic,1,0,0,1,1,1,Health and fitness,campaign email
we need to do more to combat gun violence,1,1,0,1,1,0,Society and social sciences,campaign email
we need to do what we can to combat climate change,0,1,0,1,1,0,General reference,campaign email
we need to do what we can to help protect us from climate change,1,1,0,1,1,0,General reference,campaign email
we need to enact policies that reflect the evidence based science,1,0,0,1,1,0,Technology and applied sciences,campaign email
we need to enact the same values in politics and in the world as we do at home,1,0,0,1,1,0,Society and social sciences,campaign email
we need to end unnecessary regulations so that our economy can flourish,1,0,0,1,1,0,General reference,campaign email
we need to expand voting rights and allow all methods,1,1,0,1,1,1,Society and social sciences,campaign email
we need to fight against liberal policies,0,0,1,0,1,1,History and events,campaign email
we need to fight against socialism,1,0,0,1,1,0,Philosophy and thinking,campaign email
we need to fight economic inequality,1,0,0,1,1,1,Society and social sciences,campaign email
we need to find answers that benefit the most people,1,1,0,1,1,0,Society and social sciences,campaign email
we need to fix the welfare system,1,0,0,1,1,1,Society and social sciences,campaign email
we need to focus on fixing issues not creating problems,1,0,0,1,1,0,Society and social sciences,campaign email
we need to focus on fixing our economy during this difficult time,1,0,0,1,1,0,Society and social sciences,campaign email
we need to focus on the economy,0,0,0,1,1,0,General reference,campaign email
we need to focus on what's important to everyday people,1,1,0,1,1,0,General reference,campaign email
we need to forget bipartisan politics and fight for what's right for our families,1,1,0,1,1,1,Society and social sciences,campaign email
we need to get americans to vote by any means necessary,1,0,0,1,1,0,Society and social sciences,campaign email
we need to get back to helping each other succeed,1,1,0,1,1,0,Society and social sciences,campaign email
we need to get better representation in the senate,1,1,0,1,1,0,Society and social sciences,campaign email
we need to get our rights back in order to end this crisis,1,1,0,1,1,1,Society and social sciences,campaign email
we need to give americans more choices to vote during a time where health and safety is a priority,1,1,0,1,1,1,Society and social sciences,campaign email
we need to have limitations on what airbnbs can do in our neighborhoods,1,1,0,1,1,0,Geography and places,campaign email
we need to help those who help themselves,1,1,0,1,1,0,Culture and the arts,campaign email
we need to hold mainstream media accountable,1,1,0,1,1,0,Philosophy and thinking,campaign email
we need to ignore outlandish theories to focus on the issues that are real,1,0,0,1,1,1,Society and social sciences,campaign email
we need to implement it immediately around the country,1,1,0,1,1,0,General reference,campaign email
we need to implement measures to protect our health,1,1,0,1,1,1,Health and fitness,campaign email
we need to join forces to help do the most good,1,1,0,1,1,1,Society and social sciences,campaign email
we need to keep america safe from guns,1,0,0,1,1,0,Society and social sciences,campaign email
we need to let americans exercise their freedom of speech,1,0,0,1,1,1,Society and social sciences,campaign email
we need to limit powers of the governor,1,1,0,1,1,1,Society and social sciences,campaign email
we need to listen to the science about corona virus,0,0,0,0,1,0,Health and fitness,campaign email
we need to make all violence unacceptable,1,0,0,1,1,0,Society and social sciences,campaign email
we need to make more careful decisions about opening schools,1,1,0,1,1,0,Society and social sciences,campaign email
we need to make sure we wash our hands and avoid contact with our face,1,1,0,0,0,0,Health and fitness,campaign email
we need to pass laws that keep americans safe,1,1,0,1,1,1,Culture and the arts,campaign email
we need to pay more attention to coronavirus and stop the spread,1,0,0,1,1,0,Health and fitness,campaign email
we need to protect the average american and not the elite,1,0,0,1,1,0,Culture and the arts,campaign email
we need to protect unborn children by voting for don bacon,1,1,0,0,0,1,General reference,campaign email
we need to push against lockdowns that hurt the public,0,0,0,1,1,0,Culture and the arts,campaign email
we need to push for elizabeth warren for vice president,1,0,0,1,1,1,Society and social sciences,campaign email
we need to put citizens before politics,0,0,0,1,0,0,Society and social sciences,campaign email
we need to put health and safety first,1,1,0,1,1,1,General reference,campaign email
we need to put morals and ethics in the forefront again,1,1,0,1,1,1,Society and social sciences,campaign email
we need to put people before politics,1,0,0,1,1,0,Society and social sciences,campaign email
we need to put republicans back in office,1,1,0,1,1,0,Society and social sciences,campaign email
we need to put safety ahead of politics,1,1,0,1,1,0,Society and social sciences,campaign email
we need to refocus and get back to the basics for our people,0,0,0,1,0,0,Health and fitness,campaign email
we need to remember the basics about disease spread,1,1,0,1,0,1,Geography and places,campaign email
we need to stand together to fight against the coronavirus,1,1,0,1,1,1,Health and fitness,campaign email
we need to stand together to make a change,1,0,0,1,1,0,Society and social sciences,campaign email
we need to stop relying on china,1,0,0,1,1,0,Geography and places,campaign email
we need to stop the encroachment of big money controlling elections,1,0,0,1,1,0,Society and social sciences,campaign email
we need to stop with the partisan power plays,1,0,0,1,1,0,Society and social sciences,campaign email
we need to support average citizens and their businesses,0,1,0,0,0,1,Geography and places,campaign email
we need to support iowa democrats to end racism and inequality,1,0,0,1,1,0,Society and social sciences,campaign email
we need to support our police and public safety officials,1,1,0,1,1,0,People and self,campaign email
we need to support our schools so our kids can get an education,1,1,0,1,1,0,Society and social sciences,campaign email
we need to support policies that help ensure the safety of our people and our planet,1,1,0,1,1,1,Human activities,campaign email
we need to support republicans who will curb spending,1,1,0,1,1,1,Society and social sciences,campaign email
we need to support rouda during this difficult election,1,0,0,1,1,0,Society and social sciences,campaign email
we need to support the every day american citizen,1,0,0,1,1,1,Society and social sciences,campaign email
we need to support the people with the legislation we pass,0,0,1,0,1,1,General reference,campaign email
we need to take action to stop unnecessary gun violence,1,0,0,1,1,1,Society and social sciences,campaign email
we need to take basic precautions to help prevent the spread of disease,1,1,0,1,0,0,Health and fitness,campaign email
we need to take basic steps to help ensure gun safety,1,1,0,1,1,1,Human activities,campaign email
we need to take gun safety as seriously as coronavirus,1,1,0,1,1,0,Society and social sciences,campaign email
we need to take safety measures to protect our health,1,0,0,1,1,1,Health and fitness,campaign email
we need to take the covid threat seriously,1,0,0,1,1,1,Health and fitness,campaign email
we need to treat immigrants like humans,1,1,0,1,1,0,Society and social sciences,campaign email
we need to trust the science for our response to the coronavirus,1,0,0,1,0,0,Natural and physical sciences,campaign email
we need to use legislation to help the economy get back on track,0,1,0,1,1,0,General reference,campaign email
we need to vote for conservatives to protect ca49,1,0,0,1,1,1,Society and social sciences,campaign email
we need to vote for someone who puts the people first,1,1,0,1,1,1,Society and social sciences,campaign email
we need to vote for unity not division,1,0,0,1,1,1,Society and social sciences,campaign email
we need to vote out of something other than fear,1,0,0,1,1,0,Human activities,campaign email
we need to work hard to remove the overabundance of cops in black communities,1,0,0,1,1,1,Society and social sciences,campaign email
we need to work together to do what is best for the people,1,1,0,1,1,1,General reference,campaign email
we need to work towards keeping resources available for everyday americans,0,0,0,0,1,0,History and events,campaign email
we need transparency in how government money is spent,1,0,0,1,1,0,Society and social sciences,campaign email
we only have five days your support means more now than ever before,1,1,0,1,1,0,Society and social sciences,campaign email
we receive three educations one from our parents one from our schoolmasters and one from the world the third contradicts all that the first two teach us,1,1,1,1,1,0,Philosophy and thinking,aphorism
we see the impact of their neglect every day,1,1,0,1,1,1,Culture and the arts,campaign email
we shoudl do what we can to expand voter's rights,1,1,0,1,1,1,Society and social sciences,campaign email
we should aim to put our responsibilities before any personal or political agenda,1,0,0,1,1,0,People and self,news media
we should all agree on measures to ensure a fair election,1,1,0,1,1,1,General reference,campaign email
we should all aim to get rid of systemic inequality,1,0,0,1,1,0,Religion and belief systems,news media
we should all contribute towards securing the future,0,0,1,0,1,0,Religion and belief systems,campaign email
we should all have a level playing field of economic oppurtunity,0,0,0,1,0,0,Human activities,news media
we should all try and exercise our rights to vote,1,0,0,1,1,0,Society and social sciences,campaign email
we should all wear masks in public,1,0,0,1,1,1,Society and social sciences,campaign email
we should allow alcohol to be sold in its original sealed containers in retail drive thrus,0,0,0,0,0,1,General reference,news media
we should allow parents to make decisions for their own children,1,1,0,1,1,0,Culture and the arts,campaign email
we should allow victims to legally protect themselves against their abusers,1,1,0,1,0,1,Health and fitness,campaign email
we should allow voting by mail,1,0,0,1,1,1,Society and social sciences,campaign email
we should always be ready to support other countries,1,1,0,1,1,0,General reference,campaign email
we should always save for future,1,1,0,1,1,1,Society and social sciences,campaign email
we should always support ones goal,1,0,0,1,1,0,General reference,campaign email
we should always vote and hope for the best,1,0,0,1,1,0,Society and social sciences,campaign email
we should applaud legislators when they make life easier for people,0,0,0,0,0,1,Culture and the arts,news media
we should ban oil and support wildlife,1,1,0,1,1,0,Natural and physical sciences,campaign email
we should be basing decisions on the evidence we have,0,0,0,1,1,0,Culture and the arts,campaign email
we should be careful while sharing information online,1,1,0,1,1,0,General reference,news media
we should be concerned that 100 000 unclaimed ballots will be floating around,1,0,0,1,0,0,General reference,campaign email
we should be focusing on ensuring our environment infrastructure and people are safe,1,1,0,1,1,0,Society and social sciences,campaign email
we should be mindful of the harmful effects of consumerism,1,1,0,1,1,1,Society and social sciences,news media
we should be proud of our own natural hair,0,1,0,0,0,0,Religion and belief systems,news media
we should be responsible to protect environment,1,0,0,1,0,0,General reference,campaign email
we should be supporting legislation that promotes equality,1,1,0,1,1,0,Society and social sciences,campaign email
we should be taking basic precautions to prevent the spread of disease,1,1,0,1,0,0,Health and fitness,campaign email
we should change the direction we are on,1,0,0,1,1,1,History and events,campaign email
we should choose real people representing us,1,0,1,1,1,0,Culture and the arts,campaign email
we should choose to become an american citizen because of the love for our country,1,0,0,1,0,0,History and events,campaign email
we should consult a physician if you feel ill,1,1,0,1,1,1,General reference,campaign email
we should continue practicing safe pandemic protocols,1,0,0,1,1,0,Health and fitness,campaign email
we should create a shared sense of community and compassion,1,1,0,0,0,1,Society and social sciences,news media
we should credit regulatory agenda for boosting the economy,1,0,0,1,1,0,General reference,campaign email
we should criticize fraud people,1,0,0,1,1,1,Natural and physical sciences,campaign email
we should demand reforms like a national mask mandate to stop the spread of covid19,1,0,0,1,1,0,Human activities,campaign email
we should discuss firearm proposals,1,1,0,1,1,0,Society and social sciences,campaign email
we should do universal background checks are repeatedly stonewalled,1,1,0,1,1,1,Society and social sciences,campaign email
we should do whatever we can to ensure every american can vote and is heard,1,1,0,1,1,0,Society and social sciences,campaign email
we should elect leaders with integrity and compassion,1,1,0,1,1,0,Society and social sciences,campaign email
we should elect people who are responsible,1,1,0,1,0,0,Mathematics and logic,campaign email
we should enact policies which are fiscally responsible,1,0,0,1,1,0,Mathematics and logic,campaign email
we should ensure leadership and strength back to congress,1,1,1,1,1,0,Mathematics and logic,campaign email
we should ensure police have body cameras on them,0,0,0,0,0,1,General reference,news media
we should fight for conservative solutions,1,0,0,1,1,0,Society and social sciences,campaign email
we should fight for health care coverage,1,1,0,1,1,0,Health and fitness,campaign email
we should fight for the green new deal,1,1,0,1,1,0,Natural and physical sciences,campaign email
we should fight the imperative to take things personally when speaking to others,0,0,1,0,0,1,General reference,news media
we should fight to stop spread of covid19,1,0,0,1,1,0,Health and fitness,campaign email
we should fill out the questionnaire on gun reform,1,1,0,1,1,0,Human activities,campaign email
we should find a way to eliminate party lines so we can solve problems,1,0,0,1,1,1,Society and social sciences,campaign email
we should find bipartisan solutions to our most pressing issues,1,1,0,1,1,1,History and events,campaign email
we should find solutions to the big issues facing our country,1,1,0,1,1,0,Society and social sciences,campaign email
we should focus more on preventing gun violence not associated with mass shootings such as crime on city streets,1,0,0,1,0,0,Geography and places,news media
we should focus on the economy and maintain fiscal integrity,0,1,0,1,0,1,Society and social sciences,campaign email
we should focus on the needs of this community,1,1,0,1,1,0,General reference,campaign email
we should follow the cdc guidelines and recommendations,1,1,0,1,1,0,Society and social sciences,campaign email
we should gather together and rally behind this,1,1,1,1,1,1,Geography and places,campaign email
we should get more reforms not more corrupt pac money,1,1,0,1,1,0,General reference,campaign email
we should give children the best environment to learn in schools,1,1,0,1,1,1,Society and social sciences,campaign email
we should give the government back to the people,1,1,0,1,1,1,Society and social sciences,campaign email
we should have a free and open society,1,1,0,1,1,0,History and events,campaign email
we should help elect a conservative cop,1,0,0,1,1,1,Society and social sciences,campaign email
we should help mj hegar defeat senator cornyn at the polls,1,1,0,1,1,0,Society and social sciences,campaign email
we should increase gun control,1,1,1,1,1,1,History and events,campaign email
we should join oct 24 day of action,1,1,0,1,1,0,Mathematics and logic,campaign email
we should keep pace with the conservatives,1,0,0,1,1,0,Society and social sciences,campaign email
we should keep pace with the democrat machine,0,0,1,1,1,1,Health and fitness,campaign email
we should keep pace with the democrats,1,0,0,1,1,0,Society and social sciences,campaign email
we should keep science based solutions above political grandstanding,1,0,0,1,1,0,Society and social sciences,campaign email
we should let nicole to continue fighting for us and hold the left accountable,1,1,1,1,1,0,Society and social sciences,campaign email
we should listen to conservamerica,0,1,1,1,0,1,Mathematics and logic,campaign email
we should listen to those who are experts in their field and stop politicizing health care issues,1,0,0,1,1,1,Health and fitness,campaign email
we should look out for each other,1,1,1,1,1,1,Society and social sciences,campaign email
we should make sure all people are safe,1,0,0,1,1,1,Society and social sciences,campaign email
we should manage our country's finances the way a household manages their budget,1,0,0,1,1,0,Society and social sciences,campaign email
we should not allow for cheating and fraud in elections,0,1,1,1,1,1,History and events,news media
we should not allow politicians to create a police state,1,0,0,1,1,1,Society and social sciences,campaign email
we should not drive while drunk,1,1,0,0,0,0,General reference,news media
we should not ignore the levels of vitamin k2 in our body,1,1,0,1,1,0,Natural and physical sciences,news media
we should not militarize police or any other public service entity,1,1,0,1,1,0,General reference,campaign email
we should not prioritize punishment over the countrys well being,1,0,0,1,1,1,Philosophy and thinking,campaign email
we should not restrict others from going to church,1,1,0,1,1,0,General reference,campaign email
